path,line_number,pid,indents
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/04-retain-qos0-fresh.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-no-auth-wrong-ca.py,16,279237,"0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,0,0,0,0,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-cert-auth-crl.py,14,279237,"0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,8,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/09-plugin-auth-unpwd-success.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-b2c-timeout-qos2-helper.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/02-unsubscribe-qos0.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/02-subpub-qos2.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,16,20,0,20,24,24,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-no-identity.py,15,279237,"0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,8,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-b2c-disconnect-qos1.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,8,0,8,12,12,12,12,0,12,12,12,12,0,12,0,16,20,20,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-b2c-timeout-qos2.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,8,0,8,12,12,0,12,16,0,16,20,20,0,20,24,24,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/04-retain-qos1-qos0.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,16,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/05-clean-session-qos1.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,0,8,8,0,8,8,8,12,12,0,8,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/02-unsubscribe-qos1.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-qos0.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,0,8,12,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-br2b-disconnect-qos1-helper.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-cert-auth-without.py,18,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,4,8,0,0,0,0,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-pattern-matching-helper.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/05-clean-session-qos1-helper.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-pattern-matching.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,4,4,0,4,4,0,4,4,4,0,4,4,4,0,4,0,4,8,0,8,8,0,8,12,12,0,12,16,0,16,20,0,20,24,28,0,8,4,8,8,8,12,12,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-reconnect-local-out.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,12,12,0,12,16,4,0,4,4,4,8,8,4,4,4,8,8,8,12,12,0,4,8,4,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-uname-password-success.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-invalid-id-0-311.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-c2b-disconnect-qos2.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,4,4,8,8,0,8,8,0,8,12,0,12,16,16,0,16,16,0,16,20,0,16,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-tls-psk-bridge.py,19,279237,"0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,12,12,0,8,12,4,0,4,4,4,4,4,8,8,8,8,8,12,12,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-null.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,0,8,12,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-br2b-disconnect-qos1.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,12,16,0,12,16,0,16,16,0,16,20,0,20,24,0,24,28,0,4,0,4,8,4,8,0,4,4,4,8,8,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-c2b-timeout-qos2.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,16,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-bridge.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,12,0,12,16,0,4,0,4,8,4,8,0,4,4,4,8,8,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-invalid-protonum.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-qos0-helper.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-b2br-disconnect-qos1.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,12,12,12,0,12,12,0,12,16,0,16,20,0,20,20,20,24,0,4,0,4,8,4,8,0,4,4,4,8,8,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/04-retain-qos0-clear.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,8,12,12,12,0,12,16,16,0,16,16,16,16,20,24,20,24,24,20,24,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/04-retain-qos0-repeated.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,8,12,0,12,16,0,16,20,24,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/04-retain-qos0.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,8,12,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-cert-auth-revoked.py,14,279237,"0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,8,4,8,12,8,12,12,12,0,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-invalid-id-missing.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-anon-denied.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-b2br-disconnect-qos2.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,12,0,12,12,0,12,16,0,16,20,20,0,20,24,24,0,24,24,0,24,28,0,28,32,0,32,0,32,36,0,36,40,0,4,0,4,8,4,8,0,4,4,4,8,8,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-bridge-helper.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-cert-auth-expired.py,17,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,8,4,8,12,8,12,12,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-ssl-connect-no-auth.py,16,279237,"0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,8,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-br2b-disconnect-qos2.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,12,12,16,0,12,16,0,16,16,0,16,20,0,20,24,0,24,28,0,28,32,0,32,32,0,32,36,0,36,40,0,40,44,44,0,4,0,4,8,4,8,0,4,4,4,8,8,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-qos2.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,12,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-b2c-timeout-qos1.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,8,0,8,12,12,0,12,16,16,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-reconnect-local-out-helper.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/10-listener-mount-point.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,8,0,8,12,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-uname-no-password-denied.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/06-bridge-br2b-disconnect-qos2-helper.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-null-topic.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-acl-denied.py,8,279237,"0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,4,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/08-tls-psk-pub.py,19,279237,"0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,12,12,0,8,12,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/01-connect-success.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/09-plugin-auth-unpwd-fail.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/07-will-null-helper.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/02-subpub-qos1.py,10,279237,"0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,8,0,12,16,0,4,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/broker/03-publish-b2c-disconnect-qos2.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,8,8,12,8,0,8,12,12,12,12,0,12,12,16,0,16,20,0,20,20,24,24,20,0,0,4,4,4,8,8,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-c2b-qos1-timeout.py,26,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,0,12,16,0,16,20,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/01-unpwd-set.py,15,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,4,0,4,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-qos0-no-payload.py,20,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,16,9,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/02-unsubscribe.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,2,12,16,9,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/01-will-unpwd-set.py,17,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,4,0,4,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-c2b-qos2.py,30,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,17,12,16,0,16,20,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/09-util-topic-matching.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,5,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/01-will-set.py,17,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,4,0,4,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/01-keepalive-pingreq.py,17,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,12,0,12,16,0,4,0,4,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-b2c-qos2.py,26,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,8,0,8,12,12,16,0,16,20,0,4,0,4,8,12,8,0,4,8,4,8,0,4,4,4,8,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/08-ssl-fake-cacert.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,8,8,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,4,4,0,4,4,8,4,8,4,4,0,0,4,0,4,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-c2b-qos2-disconnect.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,12,0,12,12,0,12,16,0,16,20,0,20,24,24,0,24,24,0,24,24,28,0,28,32,0,32,36,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-c2b-qos1-disconnect.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,0,4,8,0,8,12,12,0,12,12,0,12,16,0,16,20,0,20,24,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/02-subscribe-qos2.py,22,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,9,12,16,9,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/04-retain-qos0.py,12,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,9,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/09-util-topic-tokenise.py,9,279237,"0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/01-con-discon-success.py,18,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,0,4,0,4,4,4,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/08-ssl-bad-cacert.py,11,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-b2c-qos1.py,21,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,8,0,8,12,0,4,0,4,8,12,8,0,4,8,4,8,4,4,4,8,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/08-ssl-connect-no-auth.py,20,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/08-ssl-connect-cert-auth.py,21,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,0,4,0,4,4,4,0,0"
/Users/jacob.caulfield/Documents/GitHub4/mosquitto/test/lib/03-publish-c2b-qos2-timeout.py,30,279237,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,4,0,4,8,0,8,12,0,12,16,17,16,20,24,0,24,28,0,4,0,4,4,4,0,0"
